Queue, Online, NPT, In queue, Oldest, Queued, Handled, Abandoned, AHT, SLA
Summary, 152, 72, 0, 00:00:00, 1898, 1855, 117, 00:21:43, 50.00%
CBA Desktop Business Apps New _Call Back, 10, 7, 0, 00:00:00, -, -, -, -, -
CBA Desktop Business Apps Existing _Call Back, 10, 7, 0, 00:00:00, -, -, -, -, -
CBA Desktop Commsee New _Call Back, 14, 8, 0, 00:00:00, -, -, -, -, -
CBA Desktop Commsee Existing _Call Back, 14, 8, 0, 00:00:00, -, -, -, -, -
CBA Desktop Hidden, 24, 10, 0, 00:00:00, 40, 39, 1, 00:20:39, 87.50%
CBA Desktop Pwd _ Call Back, 39, 11, 0, 00:00:00, -, -, -, -, -
CBA Desktop CommSee Existing, 52, 27, 0, 00:00:00, 88, 74, 14, 00:19:06, 31.82%
CBA Desktop Hardware Existing _Call Back, 52, 28, 0, 00:00:00, -, -, -, -, -
CBA Desktop Hardware New _Call Back, 52, 28, 0, 00:00:00, -, -, -, -, -
CBA Desktop CommSee New, 52, 27, 0, 00:00:00, 156, 138, 18, 00:21:17, 44.23%
CBA Desktop Business Apps Existing, 59, 33, 0, 00:00:00, 90, 80, 10, 00:20:15, 54.44%
CBA Desktop Business Apps New, 59, 33, 0, 00:00:00, 134, 129, 5, 00:20:45, 49.25%
CBA Desktop Pwd, 79, 31, 0, 00:00:00, 677, 657, 29, 00:20:38, 67.50%
CBA Desktop Hardware Existing, 104, 57, 0, 00:00:00, 173, 161, 12, 00:22:42, 66.47%
CBA Desktop Hardware New, 104, 57, 0, 00:00:00, 540, 577, 28, 00:23:36, 59.63%
